Nota_Real,Prediccion_IA,Error_Absoluto
8.1,6.982999999999996,1.1170000000000035
5.5,5.604399999999994,0.10439999999999383
6.5,7.2614000000000365,0.7614000000000365
6.4,6.728000000000013,0.3280000000000127
6.6,6.589600000000012,0.010399999999987308
6.6,6.628799999999968,0.028799999999968406
3.6,4.057400000000001,0.45740000000000114
6.4,7.129399999999985,0.729399999999985
6.5,6.2806,0.21940000000000026
7.4,7.81100000000003,0.4110000000000298
7.5,7.112400000000003,0.3875999999999973
5.0,5.703399999999984,0.7033999999999843
3.9,6.263599999999994,2.363599999999994
5.0,6.398999999999994,1.3989999999999938
4.9,5.101600000000011,0.20160000000001066
5.5,4.766200000000004,0.733799999999996
3.1,4.34719999999998,1.2471999999999803
5.7,6.540799999999987,0.8407999999999864
7.0,6.191199999999994,0.808800000000006
6.6,6.288199999999994,0.3118000000000061
7.3,7.187000000000015,0.11299999999998445
3.5,4.712000000000023,1.2120000000000228
4.5,6.966400000000023,2.4664000000000232
7.3,7.153599999999986,0.14640000000001407
4.7,6.647399999999967,1.9473999999999672
6.8,7.039000000000001,0.23900000000000077
6.8,6.513200000000017,0.2867999999999826
6.8,6.471399999999971,0.3286000000000291
8.1,7.52600000000001,0.5739999999999901
7.0,7.5774,0.5773999999999999
7.7,7.504200000000003,0.19579999999999753
